Lignin (wt%),Co-polyol type (PTHF),r,Copolyol (wt%),Isocyanate (wt%),Tg (°C)
24,1000,1.4,28,4,18.23534151676445
4,250,0.7999999999999999,40,14,27.471617779547167
8,650,0.9999999999999999,4,1,60.27652735047765
68,1000,0.9999999999999999,60,20,48.22291409236086
22,250,0.9999999999999999,68,15,31.48647277514361
34,1000,1.0999999999999999,24,10,33.01792651363107
28,1000,0.9999999999999999,8,14,69.42996613896902
62,650,1.4,12,9,65.31818961967396
24,650,0.6,56,18,20.39439473188036
68,1000,0.6,28,7,43.17355335616059
24,1000,1.1999999999999997,12,12,73.45093036978162
0,250,1.1999999999999997,56,17,13.579012493352373
26,650,0.9999999999999999,16,19,40.208438677871314
26,650,0.7999999999999999,32,10,43.86015472223089
66,250,1.2999999999999998,52,13,56.79994522347478
66,1000,0.6,28,8,43.25479725111541
10,650,0.6,4,16,44.93689342981902
44,250,0.7999999999999999,40,0,49.39171092840039
54,650,0.8999999999999999,52,11,63.766392481494876
10,1000,1.0999999999999999,24,15,17.874491675672047
38,650,1.0999999999999999,68,12,46.95838329114412
6,650,0.9999999999999999,44,6,14.355512174823367
12,650,0.7,56,11,20.728818900968662
50,650,0.9999999999999999,60,18,52.80942474621754
68,650,1.2999999999999998,40,16,51.46600672496735
52,650,0.8999999999999999,24,8,53.466957987408406
6,250,0.7,0,7,60.11578594064062
50,1000,0.8999999999999999,60,2,61.46537760268671
0,250,1.1999999999999997,48,2,15.075548690656127
0,650,1.2999999999999998,36,11,10.181388015816303
58,650,0.8999999999999999,44,9,59.40083977008045
10,650,0.8999999999999999,44,6,24.662945159845084
20,250,1.1999999999999997,48,2,26.364692664972
20,650,1.0999999999999999,52,10,27.748991339406118
36,1000,0.7999999999999999,48,19,40.64406002682318
12,1000,0.7999999999999999,8,12,67.48173086672716
22,1000,0.7999999999999999,40,19,30.378287698779516
48,650,0.7,44,8,49.335608610757376
10,650,0.7,44,16,21.709963428538018
26,250,0.8999999999999999,12,10,42.04929679073018
66,250,0.9999999999999999,52,15,57.28791537082813
0,1000,0.9999999999999999,60,18,8.617915231469695
42,650,0.7,12,20,43.726179148855884
28,650,0.6,60,17,37.173294741506865
22,250,0.8999999999999999,56,7,40.060234322685844
46,1000,0.6,28,15,44.176486547535376
10,650,0.7999999999999999,40,11,24.995341935321097
44,250,1.0999999999999999,56,2,46.34055059375983
14,650,0.7,28,6,17.73234066651314
28,250,1.1999999999999997,56,0,42.54612613829998
56,250,0.6,44,12,46.884204249742574
50,650,1.4,24,0,53.82422206018714
52,250,0.8999999999999999,36,6,54.645882316012404
64,650,0.9999999999999999,48,19,47.62885995776574
6,650,0.8999999999999999,36,20,13.174373280470007
44,1000,1.1999999999999997,20,12,33.310048695012725
50,1000,0.7999999999999999,56,16,61.54818183413271
42,250,0.7,16,16,40.276917018986296
30,650,0.8999999999999999,0,9,60.6066775647475
62,1000,0.7999999999999999,24,20,40.26528131840633
68,650,1.0999999999999999,48,14,54.735660561360206
8,1000,0.7,4,20,54.97945991654052
