Lignin (wt%),Co-polyol type (PTHF),r,Copolyol (wt%),Isocyanate (wt%),Tg (°C)
56,250,1.3000000000000007,20,19.0,43.81433901692213
54,1000,1.0500000000000003,10,0.5,70.19175491380884
41,250,1.2500000000000004,56,3.0,40.60968871754923
12,1000,0.65,36,6.5,18.279049153563435
2,250,0.8000000000000002,66,13.5,28.700519386548894
7,1000,0.9000000000000002,66,9.0,26.80373175725145
59,650,0.7500000000000001,0,10.5,61.524527439935696
61,1000,1.2500000000000004,14,13.5,55.08380361344728
67,1000,0.7500000000000001,4,9.0,78.77430316046977
10,1000,0.9500000000000003,58,1.5,11.883216868516357
66,650,1.3000000000000007,66,5.5,55.44354496891408
55,650,1.3500000000000005,4,11.0,63.84433058983822
64,1000,0.8500000000000002,2,9.5,69.83159049734066
59,650,0.9000000000000002,66,7.5,63.47056593935515
58,250,0.7500000000000001,40,1.0,58.43422575665413
0,650,1.3000000000000007,28,11.5,10.447536525379093
51,1000,0.8000000000000002,18,8.0,47.486633054832296
7,650,1.3500000000000005,14,19.5,54.378852110357535
56,650,0.7500000000000001,16,12.0,52.27959006761047
29,650,0.8500000000000002,10,7.5,61.46020805243563
38,250,0.8000000000000002,48,8.5,48.524550738150445
22,250,0.7000000000000001,10,5.5,42.372848894809096
25,1000,0.65,64,10.5,51.27203502509772
17,650,1.4000000000000008,16,12.0,22.342109523984313
3,650,0.7500000000000001,32,5.5,20.416979135437792
38,1000,0.9500000000000003,48,4.5,32.33445211449626
35,1000,1.1500000000000004,38,19.0,18.702776477172847
5,650,0.8500000000000002,54,18.0,19.262104246451713
49,1000,0.7000000000000001,20,0.5,40.01475918175847
48,1000,1.3500000000000005,22,4.0,53.87152591163271
37,650,1.0000000000000004,12,2.5,62.83586917791483
33,1000,0.9500000000000003,34,13.0,29.838728736655913
22,1000,1.4000000000000008,2,6.0,66.2961825332657
31,1000,0.9500000000000003,18,4.0,33.66628091263779
27,1000,0.8000000000000002,24,19.0,36.09683678723699
30,250,1.1000000000000005,54,10.5,38.18743665035593
49,1000,1.4000000000000008,10,16.5,71.48095572506043
34,250,1.2000000000000006,22,7.5,30.5507008013138
55,250,1.4000000000000008,42,14.0,58.58540157562616
64,250,1.0500000000000003,40,10.5,53.565361681805385
32,650,1.1000000000000005,44,4.5,35.76865222186354
7,250,1.0500000000000003,64,3.0,15.79358639847947
27,650,1.2000000000000006,52,13.5,37.693571558556016
16,650,1.1000000000000005,26,12.0,13.95825591009094
24,1000,1.1500000000000004,0,7.5,53.716674862107226
29,1000,1.1500000000000004,60,10.5,36.162297792050175
10,250,1.4000000000000008,50,19.0,17.670026941852598
69,250,0.6,62,17.0,34.37293997411264
9,250,0.6,40,12.5,22.254767090884645
25,650,1.0500000000000003,12,8.5,61.52114807644458
59,1000,0.7000000000000001,24,2.0,43.323222188957594
11,650,1.1000000000000005,48,11.5,16.106322336716318
26,650,1.2000000000000006,32,4.5,31.045652586630705
60,650,1.3500000000000005,0,14.5,66.74375543885797
36,250,1.2500000000000004,56,19.0,32.71436075485799
45,250,1.3500000000000005,6,8.0,44.56179863450855
63,250,0.8500000000000002,64,11.0,61.64502788113427
7,250,1.3000000000000007,56,1.0,12.892264822186547
1,1000,1.0000000000000004,62,13.0,14.811297856207482
38,1000,1.1000000000000005,38,9.5,30.558274906338564
32,250,0.7500000000000001,24,14.5,39.21759678938896
25,1000,0.7000000000000001,66,4.5,54.515630286413675
68,250,1.3500000000000005,62,8.0,57.695328523083255
40,250,0.8500000000000002,12,18.5,41.819593701831764
36,250,1.4000000000000008,34,3.5,46.43473161013645
43,250,1.0000000000000004,66,14.5,47.5309682941168
9,1000,1.1500000000000004,38,2.0,10.651385013484344
47,1000,1.0500000000000003,50,13.5,58.503049332535554
33,250,0.6,34,3.0,43.184731858626456
2,250,0.9000000000000002,20,16.0,14.926606803237256
62,250,0.8500000000000002,6,3.5,44.39846501207838
39,250,1.0500000000000003,48,19.5,29.01560222461356
59,650,0.7000000000000001,52,12.5,52.89424508128253
6,650,0.7000000000000001,6,19.0,43.688439212454085
42,250,0.7000000000000001,8,6.0,42.4803367261007
7,1000,1.3000000000000007,24,15.5,17.028937100041347
31,250,0.7000000000000001,62,12.0,47.98103949731917
67,650,1.0500000000000003,14,14.0,59.30088084784451
12,1000,1.3000000000000007,62,1.0,13.27191383481589
58,1000,1.2500000000000004,28,10.0,50.29211670880939
25,650,0.6,62,6.0,51.57425019224479
58,650,0.9000000000000002,4,2.0,63.483101142902164
46,1000,1.1000000000000005,28,6.0,51.30485789932709
52,250,0.7000000000000001,50,11.0,50.89123768259565
37,1000,1.4000000000000008,24,14.5,38.79104195629678
24,1000,1.1500000000000004,0,2.5,53.78796719198711
2,650,0.65,62,8.0,21.125628016203187
1,650,0.65,4,11.5,45.117532419126796
17,1000,1.1500000000000004,60,2.0,23.875719025852813
45,250,1.0000000000000004,10,3.5,45.855681297924676
43,1000,1.0500000000000003,2,2.5,68.32279754837175
19,650,1.2000000000000006,22,2.0,19.79538751825642
29,1000,1.3000000000000007,10,1.0,71.31360381642033
23,1000,1.2500000000000004,14,17.0,52.28038034149831
48,1000,1.1500000000000004,62,6.5,54.99118138895464
41,650,0.9000000000000002,10,14.5,61.05519372792796
64,650,0.7500000000000001,66,10.5,63.45324117806453
68,650,0.9500000000000003,40,12.5,54.29540771958731
20,1000,0.7500000000000001,40,16.5,40.000867016178205
